GPA,Credits_Completed,Exam_Scores,Attendance_Percentage,Coding_Skills,Communication_Skills,Leadership_Skills,Clubs_Joined,Events_Participated,Internship_Completed,Internship_Duration_Months,Library_Visits_Per_Week,Online_Course_Hours_Per_Week,Employment_Competitiveness
2.63,137,59,52.43,1,8,3,2,5,0,9,13,19,Medium
3.02,61,65,80.19,9,5,5,3,9,1,9,7,15,Medium
3.82,66,86,90.02,6,3,2,3,5,0,9,0,6,High
2.5,41,64,79.25,7,5,3,4,3,1,11,8,17,High
2.82,126,62,99.85,1,1,9,4,0,0,10,12,7,Low
3.51,46,62,72.79,1,1,6,0,4,1,9,8,13,Medium
2.46,60,81,87.44,4,4,3,1,0,1,1,5,17,Low
2.15,99,94,83.36,7,9,2,0,7,0,2,0,0,Low
2.58,108,96,99.57,8,9,5,4,1,1,3,6,19,Low
2.32,85,95,85.66,9,1,5,4,8,1,9,6,5,Low
3.86,31,57,58.2,1,3,1,4,8,1,10,8,12,Low
3.62,92,92,97.78,4,4,3,0,2,1,6,0,0,Low
3.27,95,67,83.39,4,2,7,3,5,0,9,13,18,Low
3.74,109,85,52.97,3,7,9,1,8,1,11,14,6,Medium
3.61,29,75,82.88,7,3,5,1,6,1,0,7,15,Low
2.37,115,59,94.16,1,1,4,4,3,0,5,13,13,Medium
3.79,39,80,78.85,9,1,3,2,2,0,5,11,1,High
3.08,58,82,67.7,8,3,9,0,1,1,7,12,6,High
3.61,79,78,91.05,2,6,7,3,9,1,1,10,19,Low
3.79,85,54,89.13,2,4,7,4,9,1,1,7,19,High
2.64,84,62,77.21,8,1,8,2,0,0,0,6,14,Medium
2.22,143,50,57.72,1,7,1,4,9,1,2,11,13,Low
2.46,149,72,62.55,7,2,4,2,0,1,6,5,0,Low
2.85,76,89,86.92,9,5,5,1,3,0,7,0,16,Low
3.64,97,52,90.3,3,8,5,2,3,1,6,10,15,Medium
3.72,48,52,63.96,7,7,1,1,8,0,8,9,4,Medium
2.01,34,56,68.4,6,8,3,1,9,1,7,10,2,Medium
3.02,31,85,53.88,7,6,2,0,0,0,7,7,19,Medium
2.83,120,84,85.67,7,7,7,2,3,1,10,11,18,Low
2.44,103,64,50.18,1,9,5,3,2,1,1,4,1,High
2.24,144,89,52.33,3,6,3,3,8,0,0,3,13,Medium
2.68,122,52,50.22,1,9,8,2,4,0,5,4,18,Medium
3.89,43,78,82.27,5,2,1,0,8,1,6,4,12,High
2.65,157,79,70.87,3,2,1,3,9,0,5,13,12,High
3.04,129,88,64.88,1,2,6,4,5,0,6,12,5,Low
3.41,97,67,95.64,2,6,1,3,8,0,7,9,8,High
2.73,120,60,59.64,5,2,4,0,0,1,1,2,19,Low
3.94,147,92,69.47,3,3,6,1,3,1,0,3,0,Medium
3.92,77,98,97.02,6,8,1,1,3,0,9,3,9,Medium
2.5,95,87,71.36,9,8,9,1,9,0,7,7,2,Low
2.99,55,89,77.73,6,4,4,0,9,0,7,4,5,Medium
2.6,41,50,54.02,2,9,9,1,5,1,7,5,15,Low
2.57,146,78,89.51,2,8,9,1,9,0,9,9,19,High
2.07,99,59,71.14,8,1,6,0,0,0,6,1,5,Medium
3.22,119,77,90.03,8,8,7,4,9,1,1,8,11,High
3.01,115,80,62.69,6,1,1,3,4,0,3,7,2,High
2.1,37,68,71.12,7,4,5,0,2,1,8,7,17,Low
2.56,57,52,89.33,1,6,3,0,0,1,7,9,2,High
3.82,128,85,98.69,9,7,6,2,5,0,3,4,4,Medium
2.48,142,92,52.98,5,4,4,1,2,1,7,4,18,Medium
2.29,123,64,90.62,9,8,9,4,3,1,9,14,17,Medium
2.98,159,82,65.03,2,8,7,2,8,1,5,2,7,Medium
3.97,100,90,77.54,8,9,4,4,1,1,10,12,9,Medium
2.48,106,92,64.5,7,6,6,1,0,0,8,10,18,Medium
3.34,80,94,80.67,4,4,2,1,9,1,0,1,9,Medium
3.52,65,75,67.69,3,2,3,1,5,0,5,8,1,High
2.48,51,65,66.68,4,7,7,3,0,1,10,14,9,High
3.46,34,85,51.9,4,3,4,4,0,1,3,5,17,Low
2.74,63,82,57.35,8,3,7,4,6,0,2,7,3,High
3.26,73,69,95.85,4,3,9,2,1,1,4,3,2,Medium
3.27,63,62,99.91,5,4,5,0,3,0,9,4,16,Low
3.07,117,82,89.03,2,2,1,1,3,1,10,9,16,High
2.18,24,54,64.34,4,5,5,1,1,1,7,4,11,Low
3.67,128,86,70.12,7,3,6,2,5,0,10,10,16,Medium
2.64,46,63,86.98,3,5,2,4,9,1,9,9,12,Medium
2.37,135,76,98.43,1,7,8,3,1,1,5,3,8,High
2.08,106,72,72.77,8,9,2,4,7,0,0,10,0,High
3.18,123,63,91.48,8,2,9,3,3,1,5,1,14,Low
3.36,142,89,98.75,6,9,2,3,0,1,6,13,18,Low
2.03,98,53,93.67,7,6,3,4,6,1,5,5,8,Medium
3.02,62,88,61.36,2,6,8,1,5,1,2,3,16,Low
2.45,116,68,50.4,5,3,6,3,5,1,10,13,14,Low
3.29,50,96,74.6,7,9,1,2,2,0,8,10,1,Low
2.35,118,53,76.57,9,4,4,2,9,0,9,3,3,Medium
3.38,36,79,60.06,1,5,5,3,6,1,9,9,6,Low
2.77,102,68,64.23,3,3,3,1,5,1,3,2,7,Medium
3.87,129,80,88.26,6,5,1,3,9,1,4,7,0,High
2.28,51,80,73.52,7,8,3,2,9,0,4,5,0,Medium
2.68,54,58,65.87,6,8,9,2,8,1,2,8,4,Medium
2.23,152,62,81.13,1,8,2,4,2,1,11,4,7,High
3.85,48,63,82.64,4,6,1,1,2,1,1,5,0,Medium
3.75,89,95,88.47,6,1,7,4,3,1,7,8,2,Low
2.52,114,59,57.84,8,6,7,0,2,0,6,3,16,Medium
3.32,41,97,87.08,4,7,5,3,3,1,4,9,2,Low
3.63,88,80,79.97,7,9,2,4,5,1,0,6,0,Low
3.11,108,86,52.88,3,8,1,1,0,1,9,12,3,High
3.06,91,72,88.87,8,8,5,3,1,1,0,9,8,Low
2.48,148,76,69.15,1,7,4,3,9,1,7,11,12,Medium
2.19,106,55,66.52,4,2,9,3,5,1,3,9,4,Medium
3.79,115,75,72.4,8,1,5,3,5,1,3,10,13,High
3.8,94,51,67.31,4,2,2,3,0,0,8,10,18,High
3.27,73,94,66.91,2,6,4,1,5,1,1,5,13,Low
2.68,107,62,90.4,2,2,9,0,8,0,4,5,3,Medium
2.7,73,99,56.23,4,4,8,2,7,0,5,5,3,High
3.45,35,68,98.53,4,3,3,0,9,1,5,13,8,Medium
3.79,118,50,77.75,2,6,8,2,4,1,9,3,1,High
3.77,39,89,59.15,7,8,2,4,3,1,11,9,9,Medium
3.56,65,81,56.56,6,6,3,3,5,0,2,5,17,High
3.28,146,71,79.58,3,2,5,4,4,0,9,11,6,Low
2.17,77,97,81.65,8,5,8,4,5,0,5,6,13,High
2.32,130,78,52.65,8,6,1,2,9,1,9,12,14,Low
3.8,148,51,62.15,1,9,4,1,2,1,9,13,9,Medium
3.21,100,89,89.77,3,6,1,3,6,0,4,1,4,Medium
2.02,103,87,52.48,5,5,1,4,7,0,11,10,7,High
2.2,89,97,92.75,2,1,5,0,4,1,7,8,4,High
3.33,27,60,82.91,5,5,6,3,4,0,3,6,4,High
2.01,48,66,71.72,3,5,1,1,3,0,9,2,13,Medium
2.32,131,92,67.32,9,6,6,3,9,0,9,9,0,High
3.1,150,57,50.96,1,7,5,4,4,0,2,9,4,Medium
3.38,127,71,91.26,4,4,4,0,9,0,5,6,18,Low
3.3,128,53,57.14,6,7,5,4,7,0,9,9,11,Medium
2.45,39,60,65.48,9,5,8,1,4,0,8,9,14,Medium
3.42,92,57,78.46,3,6,9,2,8,1,7,13,2,Low
2.47,23,58,62.3,3,4,2,0,0,0,9,4,0,Low
2.65,38,75,74.86,5,8,6,1,6,1,7,8,11,Medium
3.49,121,51,90.47,7,9,3,1,4,1,2,5,12,Medium
3.3,105,65,73.53,5,2,2,4,3,0,0,10,13,High
3.7,71,80,97.45,8,4,1,4,2,1,2,12,9,Medium
3.32,130,55,92.38,5,8,4,4,9,0,2,6,19,Medium
3.14,128,70,66.65,7,8,8,2,6,1,11,3,13,Medium
2.19,105,75,70.0,6,9,3,3,1,1,5,1,13,Medium
2.74,62,68,71.17,2,3,5,3,4,0,2,14,12,High
2.53,61,77,81.31,3,1,5,4,1,1,1,10,2,Low
2.49,109,57,64.34,4,9,5,4,6,0,11,3,18,High
3.95,134,63,98.46,5,1,9,2,5,1,8,8,19,Medium
2.79,45,73,80.43,9,3,8,3,9,0,5,2,9,Low
3.78,62,97,69.97,6,3,8,2,6,0,4,6,11,High
3.26,96,93,82.25,1,9,1,1,8,1,11,12,1,Medium
3.59,156,86,69.77,3,1,1,3,1,0,2,13,0,High
3.01,39,75,90.89,7,7,2,4,8,0,6,3,3,High
3.15,58,80,78.39,8,2,8,0,6,1,6,2,7,Medium
2.99,31,81,52.1,7,7,1,1,1,0,3,13,16,Low
2.39,30,99,58.84,5,1,4,0,9,1,9,13,13,Medium
3.44,61,90,93.25,8,8,9,2,1,1,1,13,13,Medium
2.56,30,51,78.14,9,2,2,2,3,1,1,4,18,High
2.05,57,74,97.52,7,3,3,2,1,0,11,1,3,Medium
3.29,117,93,53.62,9,8,6,4,0,1,7,10,19,Medium
2.35,38,51,64.76,1,3,3,2,5,0,3,13,15,High
3.88,153,91,59.68,9,1,4,0,9,1,6,9,18,High
3.91,135,50,77.69,3,9,9,1,4,1,2,13,18,High
3.83,132,85,69.14,6,8,9,4,2,1,8,3,12,Low
2.74,84,61,57.86,8,4,5,1,0,0,9,6,6,High
2.03,118,58,82.14,3,8,7,2,8,1,8,11,13,Low
3.86,91,85,76.81,4,5,9,3,7,0,6,11,9,Low
2.86,71,90,63.74,7,3,8,4,5,0,6,1,13,High
3.93,137,77,73.99,7,1,7,2,5,0,0,9,19,Low
3.93,139,87,87.29,4,5,8,4,3,0,9,5,10,High
3.71,26,82,60.26,9,6,5,3,1,0,7,4,10,Low
2.59,30,91,64.65,3,4,5,0,3,1,1,2,14,Medium
2.77,122,95,67.31,8,7,5,0,1,0,7,4,7,High
3.7,80,71,87.34,8,3,1,0,6,1,10,14,16,High
2.63,87,74,92.35,4,7,6,3,8,1,1,9,5,Medium
2.34,159,67,68.82,7,1,5,1,1,0,0,6,13,Medium
3.11,121,55,64.83,4,7,8,3,8,1,10,2,8,Low
3.87,129,67,94.47,1,1,8,3,8,1,7,7,2,Low
3.39,159,65,99.97,1,1,2,2,7,0,3,14,11,Medium
3.14,70,64,83.52,1,2,6,0,0,0,10,6,3,High
2.19,136,97,99.5,2,2,6,4,4,1,9,3,14,Low
3.23,65,57,83.0,6,4,3,1,9,0,5,12,12,Low
3.98,72,62,86.67,5,1,1,4,3,0,9,14,17,Low
2.28,107,92,69.43,2,4,7,2,6,1,10,12,13,Low
3.04,140,56,71.65,8,2,5,2,7,0,9,4,12,Medium
3.75,32,66,57.21,9,4,5,1,9,0,0,9,8,Low
3.48,108,99,91.14,7,4,8,4,7,0,8,10,4,High
3.39,144,81,96.55,9,9,5,1,1,0,10,3,18,Low
3.4,137,71,81.17,4,9,5,1,2,0,6,1,7,Medium
2.72,73,62,67.18,7,1,1,0,9,0,4,11,12,Medium
2.59,135,96,57.7,5,5,2,4,9,1,5,14,8,Medium
3.62,137,72,63.26,5,7,5,0,6,0,2,8,16,High
3.62,23,78,62.77,3,4,7,0,3,1,8,0,4,High
3.73,94,71,80.68,9,5,3,0,5,1,1,7,8,Low
3.83,68,50,97.25,5,2,1,3,7,1,11,3,10,Low
3.02,26,78,52.41,6,3,2,2,7,1,9,8,1,Medium
3.0,129,97,50.05,3,7,3,2,6,0,0,2,12,Low
3.6,141,54,80.01,7,7,9,3,1,1,0,6,0,Low
3.3,30,84,64.2,9,4,8,1,1,0,9,14,7,Low
3.4,111,59,94.03,9,1,4,4,2,1,1,2,14,High
3.59,42,68,66.36,5,1,8,4,3,1,5,14,1,High
3.78,47,86,64.49,7,4,9,4,0,0,5,9,2,Medium
2.68,130,56,63.48,3,4,3,0,4,0,8,11,16,High
2.75,76,95,57.24,6,6,6,4,6,1,9,6,17,High
2.19,45,84,79.08,8,7,8,4,9,0,3,1,16,High
3.16,73,94,58.41,8,9,7,4,4,1,7,2,13,Medium
2.07,48,62,71.23,2,9,9,2,6,0,3,7,10,Low
2.93,116,59,73.05,6,5,7,3,4,0,2,6,13,Low
3.09,33,51,51.02,7,3,1,1,9,1,3,10,4,Low
2.57,97,55,50.84,7,3,9,3,7,0,0,2,5,Low
3.18,54,57,76.01,3,6,5,4,6,1,8,7,18,Low
2.06,49,85,84.8,9,1,6,1,0,0,10,12,10,High
2.07,111,74,97.11,2,7,2,1,0,1,4,8,1,Medium
3.65,36,93,58.96,3,3,2,3,4,1,6,1,9,Medium
2.72,112,96,55.16,2,5,4,3,1,1,2,1,12,Medium
2.25,98,89,52.6,9,7,4,3,8,0,4,14,1,High
3.04,129,56,71.8,4,7,5,3,1,1,9,6,13,Low
3.54,121,95,81.16,2,9,7,0,8,1,3,10,16,High
2.43,125,72,92.03,3,1,1,2,9,0,6,7,8,Low
3.25,66,68,84.13,4,3,4,2,1,1,4,14,7,Medium
2.17,83,95,60.42,6,9,9,4,3,1,1,4,7,Low
2.1,83,71,73.09,5,8,8,0,2,1,2,1,6,Medium
3.06,106,62,95.52,3,2,3,1,5,0,7,13,15,High
3.08,26,70,66.34,8,8,6,3,3,0,2,9,18,Medium
3.27,41,50,74.94,8,8,9,4,8,1,6,4,16,Low
3.45,100,68,97.93,7,2,8,1,8,0,4,2,0,High
3.95,93,82,86.74,3,8,7,2,9,1,6,12,12,Medium
3.03,157,53,87.39,1,3,7,1,8,0,9,8,15,High
2.65,154,91,62.62,5,7,1,3,2,1,8,1,5,Medium
3.59,144,52,70.73,1,9,5,3,2,1,6,8,14,High
2.54,69,76,54.12,6,4,7,2,3,1,5,1,11,Medium
2.88,71,90,80.33,7,6,2,3,8,0,11,0,7,High
2.16,20,84,55.19,5,9,6,0,5,1,0,9,0,Medium
2.05,23,77,91.8,4,5,2,4,8,1,3,5,10,Medium
3.93,151,55,90.73,2,1,3,2,7,0,7,10,14,Low
3.67,23,55,76.68,5,3,1,2,6,0,0,5,0,Low
3.39,20,93,57.06,9,9,3,1,4,1,5,3,15,Medium
2.82,90,72,51.28,4,3,7,2,8,0,1,12,6,Medium
2.35,54,82,89.84,2,2,5,4,3,1,8,1,0,High
2.31,27,65,80.01,6,4,4,0,3,0,7,12,1,Medium
2.5,55,73,85.55,8,5,8,1,7,0,8,9,7,Low
3.1,142,54,65.19,2,7,8,4,3,1,8,11,10,Medium
3.43,62,90,75.47,9,7,1,2,6,1,1,10,12,High
3.32,46,91,87.36,7,9,9,3,3,1,1,2,4,Medium
2.56,51,62,73.13,2,8,9,3,0,0,8,12,17,High
3.91,97,96,80.07,5,2,2,4,9,1,1,5,18,Medium
3.48,140,61,89.49,5,8,2,0,8,0,3,3,2,Low
3.11,35,54,60.76,7,8,8,3,3,1,1,4,0,Low
3.22,118,86,53.3,5,5,6,4,2,1,0,10,4,Medium
2.84,66,80,76.59,6,3,3,1,2,1,11,8,18,Low
2.5,50,77,53.11,9,9,2,2,8,0,10,4,8,Medium
2.71,23,77,88.33,3,7,5,0,7,1,9,9,6,Low
3.52,36,79,85.96,3,1,8,0,9,0,6,14,11,High
2.03,58,67,94.09,8,8,6,1,6,1,11,10,13,Medium
2.23,67,93,81.98,6,5,3,0,6,1,10,7,15,Medium
2.09,58,76,53.36,3,6,9,4,3,0,4,1,12,Medium
2.08,151,84,62.66,2,9,8,0,2,0,2,11,17,High
3.71,49,75,90.4,2,8,6,0,3,0,7,13,9,Medium
3.41,41,88,58.36,2,3,1,0,5,1,4,5,5,Medium
2.95,85,98,84.92,5,5,2,4,3,1,0,10,2,Low
2.2,127,67,89.01,5,4,4,2,3,0,8,10,3,Medium
2.98,31,82,66.51,1,1,2,3,1,1,4,5,0,High
2.95,55,74,66.11,2,5,3,0,6,0,2,4,10,Low
2.35,37,80,77.89,2,7,8,1,5,0,5,14,16,High
2.87,109,86,93.06,4,1,9,1,1,1,7,5,4,Low
2.8,20,51,61.2,7,4,6,4,4,0,1,13,11,High
3.23,146,82,97.06,3,6,4,2,5,1,10,4,19,Low
3.27,109,88,79.96,5,9,2,0,4,0,2,1,6,Medium
2.09,106,92,99.61,9,8,7,4,3,1,6,4,3,High
2.75,109,92,54.48,5,2,7,3,8,0,1,0,15,Medium
3.25,153,81,56.33,9,3,9,2,2,1,10,2,14,High
3.01,89,67,91.33,1,5,5,2,1,0,10,13,13,Low
3.71,63,66,93.24,9,7,4,4,8,1,11,6,1,Medium
3.32,105,83,72.27,5,3,6,1,7,1,4,3,9,High
2.33,38,88,85.7,8,7,2,2,8,1,8,7,19,High
2.14,120,56,93.38,5,5,2,1,9,0,6,2,1,Low
3.28,114,91,52.16,6,6,9,2,2,1,2,6,4,Low
2.05,120,84,78.7,8,6,7,2,0,0,1,13,12,High
3.17,49,79,92.67,2,4,7,2,0,0,9,1,9,Medium
3.88,52,61,69.91,3,8,5,3,2,0,8,13,12,Low
3.15,31,84,65.12,9,9,7,1,3,1,8,7,13,Medium
2.78,137,60,89.79,5,2,9,3,1,0,8,14,17,Medium
3.29,113,93,66.79,5,9,5,1,7,0,9,12,19,High
2.92,156,53,50.16,9,4,9,3,2,1,2,2,7,High
3.09,95,74,97.98,3,6,1,3,3,1,0,12,4,High
3.88,48,97,79.61,4,7,3,3,5,1,8,5,19,High
2.77,136,81,90.98,7,4,7,4,9,1,6,1,11,Low
3.92,34,69,91.27,2,8,4,3,5,0,1,6,15,Medium
3.81,21,99,53.32,8,8,2,2,1,0,5,12,19,High
2.39,136,80,58.54,5,1,3,0,5,0,10,3,18,High
2.14,37,53,65.56,1,8,7,3,3,0,8,5,6,Medium
2.2,22,87,66.03,3,3,8,0,4,0,7,1,3,Medium
2.04,154,96,82.94,9,5,9,0,6,1,10,2,18,Low
2.19,127,50,81.16,5,8,6,2,6,0,11,14,9,Low
3.37,114,52,74.73,8,6,9,0,5,1,5,2,7,Low
2.14,141,86,60.56,1,4,4,0,9,1,5,3,15,Low
2.64,30,71,69.1,7,4,5,0,5,0,7,0,3,High
3.69,87,66,77.18,7,4,1,1,5,0,8,12,9,Medium
2.05,142,63,73.4,8,6,9,3,3,0,7,5,18,Medium
3.63,132,90,56.36,3,7,9,3,2,1,0,10,15,Low
2.56,117,84,82.48,1,5,9,0,0,1,1,5,11,High
2.24,112,62,53.65,9,8,3,2,2,1,5,3,19,High
3.39,41,84,68.91,1,7,8,1,2,0,7,7,1,High
3.26,146,92,85.5,6,8,3,2,8,1,3,4,10,Low
3.75,153,51,51.0,9,4,6,2,2,1,11,9,19,High
3.47,44,96,78.5,2,8,5,0,7,1,3,13,12,Low
3.61,104,62,66.73,4,6,8,4,7,1,1,3,2,High
2.56,74,65,50.44,2,3,3,0,2,0,9,6,16,High
2.35,114,67,59.52,4,8,1,4,9,1,0,9,9,High
3.5,138,56,97.05,2,7,9,1,9,0,9,14,7,Medium
3.61,28,94,76.06,1,5,9,4,5,0,8,9,5,High
3.98,61,85,99.86,3,4,3,0,7,0,6,7,13,Low
2.83,72,90,76.24,8,1,2,0,7,0,8,1,18,Medium
2.74,93,79,77.2,5,3,4,2,9,1,1,12,0,Medium
3.55,58,91,69.59,4,2,8,0,9,0,9,0,10,Low
2.68,141,90,65.5,5,8,6,0,8,0,4,5,13,Medium
3.86,34,56,62.58,6,8,1,3,8,1,1,1,12,High
3.72,142,64,67.17,6,5,8,3,7,1,9,10,11,Low
2.86,130,89,72.99,5,5,5,2,6,1,6,7,5,Medium
3.5,150,68,59.6,6,4,6,4,9,1,8,12,3,Medium
3.51,102,92,61.24,9,1,5,4,2,0,2,4,8,Low
2.21,29,86,63.58,5,1,5,3,6,1,0,1,6,High
3.81,111,51,72.46,6,6,3,1,3,1,3,10,6,Medium
3.01,48,91,82.64,4,4,4,3,1,0,3,11,12,Medium
3.65,54,97,92.81,3,4,5,1,7,0,10,4,1,Medium
2.64,25,62,64.36,6,3,2,4,1,1,5,1,1,High
3.79,159,89,59.19,5,9,6,3,0,0,4,5,14,Medium
2.78,130,90,68.94,4,3,2,0,4,1,11,7,15,High
2.02,57,92,94.72,5,8,4,1,9,1,4,1,1,Low
3.81,96,92,50.49,7,2,1,1,8,0,8,5,19,Low
2.18,112,80,83.89,1,4,4,1,4,0,10,5,4,Low
2.64,86,65,73.86,1,1,7,4,1,0,0,0,1,High
3.9,155,91,58.05,1,5,8,2,9,0,7,8,19,Low
3.9,27,93,66.05,2,2,2,0,3,1,7,14,6,Low
3.15,141,55,61.25,9,1,3,3,7,1,10,11,4,Low
3.26,103,77,93.89,5,1,1,1,6,0,7,7,10,Medium
2.9,151,81,74.09,9,2,7,4,4,1,11,11,7,Low
